JURISDICTI3,QJur_US,Sample Type,Parameter,ResultJuris,Units,LoadQUns,LoadsPoundsQUns
DANA POINT,8772133.76646654,Total,Mevinphos (Phosdrin),5,ng/L,43860668.8323327,0.002738129832958691
DANA POINT,8772133.76646654,Total,Mirex,2.5,ng/L,21930334.41616635,0.0013690649164793455
DANA POINT,8772133.76646654,Total,Naphthalene,4.656666666666667,ng/L,40848902.90584586,0.0025501115844288606
DANA POINT,8772133.76646654,Total,Phenanthrene,4.23,ng/L,37106125.83215346,0.0023164578386830523
DANA POINT,8772133.76646654,Total,Phorate,5,ng/L,43860668.8323327,0.002738129832958691
DANA POINT,8772133.76646654,Total,Pyrene,3.912,ng/L,34316587.2944171,0.0021423127813068794
DANA POINT,8772133.76646654,Total,Tetrachlorvinphos (Stirofos),2,ng/L,17544267.53293308,0.0010952519331834762
DANA POINT,8772133.76646654,Total,Tokuthion (Prothiofos),3,ng/L,26316401.299399618,0.0016428778997752142
DANA POINT,8772133.76646654,Total,Toxaphene,12.5,ng/L,109651672.08083174,0.006845324582396726
DANA POINT,8772133.76646654,Total,trans-Nonachlor,1,ng/L,8772133.76646654,5.476259665917381e-4
DANA POINT,8772133.76646654,Total,Trichloronate,1,ng/L,8772133.76646654,5.476259665917381e-4
DANA POINT,8772133.76646654,Total,"Arsenic, Total",2.04875,ug/L,17971909.054048322,1.1219486990548235
DANA POINT,8772133.76646654,Dissolved,"Arsenic, Total",2.04875,ug/L,17971909.054048322,1.1219486990548235
DANA POINT,8772133.76646654,Total,"Cadmium, Total",0.6304166666666666,ug/L,5530099.328609947,0.3452325364388749
DANA POINT,8772133.76646654,Dissolved,"Cadmium, Total",0.6304166666666666,ug/L,5530099.328609947,0.3452325364388749
DANA POINT,8772133.76646654,Total,"Calcium, Total",172.4,ug/L,1512315861.3388314,94.41071664041566
DANA POINT,8772133.76646654,Total,Chromium 6+,0.17867857142857144,ug/L,1567392.3297725748,0.09784902538780235
DANA POINT,8772133.76646654,Dissolved,Chromium 6+,0.17867857142857144,ug/L,1567392.3297725748,0.09784902538780235
DANA POINT,8772133.76646654,Total,"Chromium, Total",0.4671875,ug/L,4098231.244021086,0.2558440062670777
DANA POINT,8772133.76646654,Dissolved,"Chromium, Total",0.4671875,ug/L,4098231.244021086,0.2558440062670777
DANA POINT,8772133.76646654,Total,"Copper, Total",6.512499999999999,ug/L,57128521.15411333,3.566414107428695
DANA POINT,8772133.76646654,Dissolved,"Copper, Total",6.512499999999999,ug/L,57128521.15411333,3.566414107428695
DANA POINT,8772133.76646654,Total,Dissolved Organic Carbon,9.608333333333334,ug/L,84285585.27279934,5.261772829002285
DANA POINT,8772133.76646654,Total,"Hardness as CaCO3, Total",831.3333333333334,ug/L,7292567204.522516,455.25972022659835
DANA POINT,8772133.76646654,Total,"Iron, Total",150.53333333333333,ug/L,1320498536.3120964,82.43596217094297
DANA POINT,8772133.76646654,Dissolved,"Iron, Total",150.53333333333333,ug/L,1320498536.3120964,82.43596217094297
DANA POINT,8772133.76646654,Total,"Lead, Total",0.13,ug/L,1140377.3896406502,0.07119137565692597
DANA POINT,8772133.76646654,Dissolved,"Lead, Total",0.13,ug/L,1140377.3896406502,0.07119137565692597
DANA POINT,8772133.76646654,Total,"Magnesium, Total",97.30833333333334,ug/L,853601716.5919149,53.288570099097726
DANA POINT,8772133.76646654,Total,"Manganese, Total",132.475,ug/L,1162088420.7126548,72.54674992424053
DANA POINT,8772133.76646654,Dissolved,"Manganese, Total",132.475,ug/L,1162088420.7126548,72.54674992424053
DANA POINT,8772133.76646654,Total,MBAS,0.06892857142857142,mg/L,604650.6489028721,37.74707555435909
DANA POINT,8772133.76646654,Total,"Mercury, Total",0.025,ug/L,219303.3441616635,0.013690649164793454
DANA POINT,8772133.76646654,Dissolved,"Mercury, Total",0.025,ug/L,219303.3441616635,0.013690649164793454
DANA POINT,8772133.76646654,Total,"Nickel, Total",9.467857142857143,ug/L,83053309.33893856,5.184844419409636
DANA POINT,8772133.76646654,Dissolved,"Nickel, Total",9.467857142857143,ug/L,83053309.33893856,5.184844419409636
DANA POINT,8772133.76646654,Total,"Selenium, Total",4.227142857142857,ug/L,37081062.5928207,2.3148931930642185
DANA POINT,8772133.76646654,Dissolved,"Selenium, Total",4.227142857142857,ug/L,37081062.5928207,2.3148931930642185
DANA POINT,8772133.76646654,Total,"Silver, Total",0.1,ug/L,877213.376646654,0.054762596659173816
DANA POINT,8772133.76646654,Dissolved,"Silver, Total",0.1,ug/L,877213.376646654,0.054762596659173816
DANA POINT,8772133.76646654,Total,"Thallium, Total",0.1,ug/L,877213.376646654,0.054762596659173816
DANA POINT,8772133.76646654,Dissolved,"Thallium, Total",0.1,ug/L,877213.376646654,0.054762596659173816
DANA POINT,8772133.76646654,Total,Total Organic Carbon (TOC),8.2,mg/L,71931496.88502562,4490.532926052253
DANA POINT,8772133.76646654,Total,"Zinc, Total",10.035714285714286,ug/L,88034628.15632492,5.495817736152802
DANA POINT,8772133.76646654,Dissolved,"Zinc, Total",10.035714285714286,ug/L,88034628.15632492,5.495817736152802
DANA POINT,8772133.76646654,Total,"Ammonia, as Nitrogen",0.19428571428571428,mg/L,1704300.2746277847,106.39590208068056
DANA POINT,8772133.76646654,Total,Chloride,629.1666666666666,mg/L,5519134161.401864,344548.00398063526
DANA POINT,8772133.76646654,Total,Nitrate + Nitrite as N,1.7566666666666666,mg/L,15409714.983092887,961.99628131282
DANA POINT,8772133.76646654,Total,"Nitrogen, Total Kjeldahl",1.6991666666666667,mg/L,14905317.291521061,930.5077882337952
DANA POINT,8772133.76646654,Total,Orthophosphate as P,0.2783333333333333,mg/L,2441577.2316665202,152.42256070136713
DANA POINT,8772133.76646654,Total,pH,8.400833333333335,NA,73693233.749791,NA
DANA POINT,8772133.76646654,Total,Phosphorus as PO4,1.3975,mg/L,12259056.938636988,765.3072883119542
DANA POINT,8772133.76646654,Total,SpecificConductivity,3791.6666666666665,NA,33261007197.852295,NA
DANA POINT,8772133.76646654,Total,Sulfate,697.5,mg/L,6118563302.110412,381969.1116977374
DANA POINT,8772133.76646654,Total,Total Dissolved Solids,2190,mg/L,19210972948.56172,1199300.8668359066
DANA POINT,8772133.76646654,Total,VSS,3.9428571428571426,mg/L,34587270.279210925,2159.2109539902817
DANA POINT,8772133.76646654,Total,TSS,6.45,mg/L,56580262.79370918,3532.1874845167113
DANA POINT,8772133.76646654,Total,E. coli,1842.8,CFU/100 mL,16165288104.844538,4577492302072.618
DANA POINT,8772133.76646654,Total,Enterococcus,5738.571428571428,CFU/100 mL,50339516199.851555,14254540123279.566
DANA POINT,8772133.76646654,Total,Fecal coliforms,3127.8571428571427,CFU/100 mL,27437981259.540695,7769558277301.62
DANA POINT,8772133.76646654,Total,Total Coliforms,25328.571428571428,CFU/100 mL,222185616684.93106,62915856705438.56
DANA POINT,8772133.76646654,NA,NA,NA,NA,NA,NA
LAGUNA BEACH,2052723.6240054537,Total,d10-Acenaphthene,67.5,ng/L,138558844.62036812,0.008649938912824829
LAGUNA BEACH,2052723.6240054537,Total,d10-Phenanthrene,78.5,ng/L,161138804.4844281,0.010059558587507395
LAGUNA BEACH,2052723.6240054537,Total,d12-Chrysene,93.5,ng/L,191929658.84450993,0.011981767234801802
LAGUNA BEACH,2052723.6240054537,Total,d8-Naphthalene,56.75,ng/L,116492065.6623095,0.007272356048930504
LAGUNA BEACH,2052723.6240054537,Total,PCB030,80.75,ng/L,165757432.63844037,0.010347889884601552
LAGUNA BEACH,2052723.6240054537,Total,PCB112,87.75,ng/L,180126498.00647855,0.011244920586672277
LAGUNA BEACH,2052723.6240054537,Total,PCB198,91.5,ng/L,187824211.596499,0.01172547274849588
LAGUNA BEACH,2052723.6240054537,Total,TCMX,66.25,ng/L,135992940.0903613,0.008489754858883628
LAGUNA BEACH,2052723.6240054537,Total,"2,4'-DDD",1,ng/L,2052723.6240054537,1.2814724315296042e-4
LAGUNA BEACH,2052723.6240054537,Total,"2,4'-DDE",1,ng/L,2052723.6240054537,1.2814724315296042e-4
LAGUNA BEACH,2052723.6240054537,Total,"2,4'-DDT",1,ng/L,2052723.6240054537,1.2814724315296042e-4
LAGUNA BEACH,2052723.6240054537,Total,"4,4'-DDD",1,ng/L,2052723.6240054537,1.2814724315296042e-4
LAGUNA BEACH,2052723.6240054537,Total,"4,4'-DDE",1,ng/L,2052723.6240054537,1.2814724315296042e-4
LAGUNA BEACH,2052723.6240054537,Total,"4,4'-DDT",1,ng/L,2052723.6240054537,1.2814724315296042e-4
LAGUNA BEACH,2052723.6240054537,Total,Acenaphthene,2.5,ng/L,5131809.060013634,3.2036810788240106e-4
LAGUNA BEACH,2052723.6240054537,Total,Acenaphthylene,2.5,ng/L,5131809.060013634,3.2036810788240106e-4
LAGUNA BEACH,2052723.6240054537,Total,Aldrin,2.5,ng/L,5131809.060013634,3.2036810788240106e-4
LAGUNA BEACH,2052723.6240054537,Total,Anthracene,2.5,ng/L,5131809.060013634,3.2036810788240106e-4
LAGUNA BEACH,2052723.6240054537,Total,Benz[a]anthracene,2.5,ng/L,5131809.060013634,3.2036810788240106e-4
LAGUNA BEACH,2052723.6240054537,Total,Benzo[a]pyrene,2.5,ng/L,5131809.060013634,3.2036810788240106e-4
LAGUNA BEACH,2052723.6240054537,Total,Benzo[b]fluoranthene,2.5,ng/L,5131809.060013634,3.2036810788240106e-4
LAGUNA BEACH,2052723.6240054537,Total,"Benzo[g,h,i]perylene",2.5,ng/L,5131809.060013634,3.2036810788240106e-4
LAGUNA BEACH,2052723.6240054537,Total,Benzo[k]fluoranthene,2.5,ng/L,5131809.060013634,3.2036810788240106e-4
LAGUNA BEACH,2052723.6240054537,Total,BHC-alpha,2.5,ng/L,5131809.060013634,3.2036810788240106e-4
LAGUNA BEACH,2052723.6240054537,Total,BHC-beta,2.5,ng/L,5131809.060013634,3.2036810788240106e-4
LAGUNA BEACH,2052723.6240054537,Total,BHC-delta,2.5,ng/L,5131809.060013634,3.2036810788240106e-4
LAGUNA BEACH,2052723.6240054537,Total,BHC-gamma,2.5,ng/L,5131809.060013634,3.2036810788240106e-4
LAGUNA BEACH,2052723.6240054537,Total,Bolstar (Sulprofos),2,ng/L,4105447.2480109073,2.5629448630592084e-4
LAGUNA BEACH,2052723.6240054537,Total,Chlordane-alpha,1,ng/L,2052723.6240054537,1.2814724315296042e-4
LAGUNA BEACH,2052723.6240054537,Total,Chlordane-gamma,1,ng/L,2052723.6240054537,1.2814724315296042e-4
LAGUNA BEACH,2052723.6240054537,Total,Chlorpyrifos,0.5,ng/L,1026361.8120027268,6.407362157648021e-5
LAGUNA BEACH,2052723.6240054537,Total,Chrysene,2.5,ng/L,5131809.060013634,3.2036810788240106e-4
LAGUNA BEACH,2052723.6240054537,Total,Demeton,1,ng/L,2052723.6240054537,1.2814724315296042e-4
LAGUNA BEACH,2052723.6240054537,Total,Diazinon,0.5,ng/L,1026361.8120027268,6.407362157648021e-5
LAGUNA BEACH,2052723.6240054537,Total,"Dibenz[a,h]anthracene",2.5,ng/L,5131809.060013634,3.2036810788240106e-4
LAGUNA BEACH,2052723.6240054537,Total,Dichlorvos,3,ng/L,6158170.872016361,3.844417294588813e-4
LAGUNA BEACH,2052723.6240054537,Total,Dieldrin,1,ng/L,2052723.6240054537,1.2814724315296042e-4
LAGUNA BEACH,2052723.6240054537,Total,Dimethoate,5,ng/L,10263618.120027268,6.407362157648021e-4
LAGUNA BEACH,2052723.6240054537,Total,Disulfoton,1,ng/L,2052723.6240054537,1.2814724315296042e-4
LAGUNA BEACH,2052723.6240054537,Total,Endosulfan-I,2.5,ng/L,5131809.060013634,3.2036810788240106e-4
LAGUNA BEACH,2052723.6240054537,Total,Endosulfan-II,2.5,ng/L,5131809.060013634,3.2036810788240106e-4
LAGUNA BEACH,2052723.6240054537,Total,Endosulfan Sulfate,2.5,ng/L,5131809.060013634,3.2036810788240106e-4
LAGUNA BEACH,2052723.6240054537,Total,Endrin,2.5,ng/L,5131809.060013634,3.2036810788240106e-4
LAGUNA BEACH,2052723.6240054537,Total,Endrin Aldehyde,2.5,ng/L,5131809.060013634,3.2036810788240106e-4
LAGUNA BEACH,2052723.6240054537,Total,Ethoprop (Ethoprofos),1,ng/L,2052723.6240054537,1.2814724315296042e-4
LAGUNA BEACH,2052723.6240054537,Total,Fenchlorphos (Ronnel),2,ng/L,4105447.2480109073,2.5629448630592084e-4
LAGUNA BEACH,2052723.6240054537,Total,Fensulfothion,1,ng/L,2052723.6240054537,1.2814724315296042e-4
LAGUNA BEACH,2052723.6240054537,Total,Fenthion,2,ng/L,4105447.2480109073,2.5629448630592084e-4
LAGUNA BEACH,2052723.6240054537,Total,Fluoranthene,2.5,ng/L,5131809.060013634,3.2036810788240106e-4
LAGUNA BEACH,2052723.6240054537,Total,Fluorene,2.5,ng/L,5131809.060013634,3.2036810788240106e-4
LAGUNA BEACH,2052723.6240054537,Total,Heptachlor,2.5,ng/L,5131809.060013634,3.2036810788240106e-4
LAGUNA BEACH,2052723.6240054537,Total,Heptachlor Epoxide,2.5,ng/L,5131809.060013634,3.2036810788240106e-4
LAGUNA BEACH,2052723.6240054537,Total,"Indeno[1,2,3-cd]pyrene",2.5,ng/L,5131809.060013634,3.2036810788240106e-4
LAGUNA BEACH,2052723.6240054537,Total,Malathion,2.5,ng/L,5131809.060013634,3.2036810788240106e-4
LAGUNA BEACH,2052723.6240054537,Total,Merphos,1,ng/L,2052723.6240054537,1.2814724315296042e-4
LAGUNA BEACH,2052723.6240054537,Total,Methoxychlor,2.5,ng/L,5131809.060013634,3.2036810788240106e-4
LAGUNA BEACH,2052723.6240054537,Total,Methyl Parathion,1,ng/L,2052723.6240054537,1.2814724315296042e-4
LAGUNA BEACH,2052723.6240054537,Total,Mevinphos (Phosdrin),5,ng/L,10263618.120027268,6.407362157648021e-4
LAGUNA BEACH,2052723.6240054537,Total,Mirex,2.5,ng/L,5131809.060013634,3.2036810788240106e-4
LAGUNA BEACH,2052723.6240054537,Total,Phenanthrene,6.43,ng/L,13199012.902355066,8.239867734735354e-4
LAGUNA BEACH,2052723.6240054537,Total,Phorate,5,ng/L,10263618.120027268,6.407362157648021e-4
LAGUNA BEACH,2052723.6240054537,Total,Pyrene,2.5,ng/L,5131809.060013634,3.2036810788240106e-4
LAGUNA BEACH,2052723.6240054537,Total,Tetrachlorvinphos (Stirofos),2,ng/L,4105447.2480109073,2.5629448630592084e-4
LAGUNA BEACH,2052723.6240054537,Total,Tokuthion (Prothiofos),3,ng/L,6158170.872016361,3.844417294588813e-4
LAGUNA BEACH,2052723.6240054537,Total,Toxaphene,12.5,ng/L,25659045.30006817,0.0016018405394120053
